Position_Power(dBm)
150.0000,-14.9320
300.0000,-14.9240
450.0000,-14.9370
600.0000,-14.9320
750.0000,-14.9140
900.0000,-14.9540
1050.0000,-14.9530
1200.0000,-14.9210
1350.0000,-14.9180
1500.0000,-14.9240
1650.0000,-14.9270
1800.0000,-14.9430
1950.0000,-14.9750
2100.0000,-15.0260
2250.0000,-15.1170
2400.0000,-15.2710
2550.0000,-15.6220
2700.0000,-15.8930
2850.0000,-16.1400
3000.0000,-16.5460
3150.0000,-17.0040
3300.0000,-17.4560
3450.0000,-17.8960
3600.0000,-18.2710
3750.0000,-18.5480
3900.0000,-18.7580
4050.0000,-18.8780
4200.0000,-18.9460
4350.0000,-18.9830
4500.0000,-18.9990
4650.0000,-19.0090
4800.0000,-19.0180
4950.0000,-19.0130
5100.0000,-19.0160
5250.0000,-19.0120
5400.0000,-19.0160
5550.0000,-19.0130
5700.0000,-19.0130
5850.0000,-19.0170
6000.0000,-19.0170
